owner_fee,join_date,service_fee,price
0,2015-07-12 15:13:16.673652,0.15,35
0,2015-07-12 13:44:21.949482,0.15,35
0,2015-07-12 11:36:06.992714,0.15,24
0,2015-07-12 12:23:43.627071,0.15,24
0,2015-07-12 07:40:36.724086,0.15,34
0,2015-07-12 11:18:40.410251,0.15,34
0,2015-07-12 11:18:40.410251,0.15,30
0,2015-07-12 19:48:21.073046,0.15,39
0,2015-07-12 19:48:21.073046,0.15,28
0,2015-07-12 12:01:51.756294,0.15,22
0,2015-07-12 12:01:51.756294,0.15,29
0,2015-07-12 16:30:27.866647,0.15,26
0,2015-07-12 16:30:27.866647,0.15,26
0,2015-07-12 15:32:31.386474,0.15,33
0,2015-07-12 09:53:03.647329,0.15,19
0,2015-07-12 08:44:58.701046,0.15,31
0,2015-07-12 08:44:58.701046,0.15,18
0,2015-07-12 07:46:02.654845,0.15,41
0,2015-07-12 07:46:02.654845,0.15,29
0,2015-07-12 07:40:36.417338,0.15,27
0,2015-07-12 09:56:44.694833,0.15,32
0,2015-07-12 18:47:50.472888,0.15,25
0,2015-07-12 18:47:50.472888,0.15,27
0,2015-07-12 17:23:21.556556,0.15,40
0,2015-07-12 17:23:21.556556,0.15,21
0,2015-07-12 17:23:21.556556,0.15,29
0,2015-07-12 09:16:14.996520,0.15,27
0,2015-07-12 09:16:14.996520,0.15,23
0,2015-07-12 17:27:01.492380,0.15,22
0,2015-07-12 17:27:01.492380,0.15,29
0,2015-07-12 09:22:20.276829,0.15,38
0,2015-07-12 09:22:20.276829,0.15,25
0,2015-07-12 12:36:22.247763,0.15,21
0,2015-07-12 12:36:22.247763,0.15,23
0,2015-07-12 05:27:01.411705,0.15,31
0,2015-07-12 05:27:01.411705,0.15,30
0,2015-07-12 17:48:19.788652,0.15,30
0,2015-07-12 17:48:19.788652,0.15,22
0,2015-07-12 09:58:08.841183,0.15,19
0,2015-07-12 07:05:07.631599,0.15,28
0,2015-07-12 08:55:55.160564,0.15,30
